"id_orcamento","dotacao_atual","empenhado","liquidado","pago","fk_acao","fk_programa","fk_unidade","fk_ano"
"170","200000","0","0","0","46","3","1","8"
"171","22500000","22317034","3210464","3189887","35","3","1","8"
"172","2100000","1951469","1122156","1116756","47","3","1","8"
"173","4800000","4443287","2996420","2996420","48","3","1","8"
"174","1600000","1407000","624774","624774","36","3","1","8"
"175","400000","367124","247071","242576","59","3","1","8"
"176","2645000","2440371","1283188","1283188","49","3","1","8"
"177","2820000","2608529","1378354","1377922","50","3","1","8"
"178","26170000","25916355","2235702","2170460","6","3","1","8"
"179","2662000","2648385","1075351","1035160","39","3","1","8"
"180","10569050","10440644","641838","401428","64","3","1","8"
"181","6500","3873","3873","3873","25","8","1","8"
"182","87250","81587","81587","81587","23","6","1","9"
"183","919608","902932","651112","630330","54","3","1","9"
"184","200000","0","0","0","55","3","1","9"
"185","49182","39055","39055","39055","56","3","1","9"
"186","1500000","1494596","900921","900921","65","3","1","9"
"187","1000000","999271","396064","396064","66","3","1","9"
"188","1000000","1000000","756376","753487","67","3","1","9"
"189","10800000","10782258","8973914","8966608","68","3","1","9"
"190","47280786","47280188","40256333","40010834","69","3","1","9"
"191","7200000","7193860","5341196","5339656","70","3","1","9"
"192","270000","0","0","0","71","3","1","9"
"193","40000000","39847760","0","0","72","3","1","9"
"194","26769","25741","25741","25741","2","3","1","9"
"195","5705","5542","5542","5542","1","3","1","9"
"196","36887","22499","22499","22499","31","3","1","9"
"197","93305","88352","88352","88352","32","3","1","9"
"198","2500000","2499518","2233209","2181237","73","3","1","9"
"199","11036875","9984818","7271477","7271477","33","3","1","9"
"200","14242574","14187201","4679994","4660918","34","3","1","9"
"201","108000","81062","31062","31062","44","3","1","9"
"202","6803466","6803466","0","0","35","3","1","9"
"203","2100000","2099647","1357837","1355497","74","3","1","9"
"204","6772500","6755533","5608149","5600389","75","3","1","9"
"205","2350000","2350000","1986219","1978259","29","3","1","9"
"206","1760000","1759591","1588443","1588443","36","3","1","9"
"207","2695000","2694046","2266086","2245354","76","3","1","9"
"208","4438000","4434865","3346317","3286505","50","3","1","9"
"209","24778368","24989121","2556264","2360917","6","3","1","9"
"210","3283401","2144752","312848","147007","39","3","1","9"
"211","8590643","7522208","862520","797901","64","3","1","9"
"212","6500","3747","3747","3747","25","8","1","9"
"213","98885","96848","96848","96848","23","6","1","10"
"214","900000","808716","381378","381378","54","3","1","10"
"215","200000","0","0","0","55","3","1","10"
"216","100000000","92681934","6051881","6027256","63","3","1","10"
"217","37195","30084","30084","30084","56","3","1","10"
"218","2500000","2499802","2272748","2261416","65","3","1","10"
"219","2000000","1999939","1684171","1684171","66","3","1","10"
"220","7000000","6999937","6991877","6991877","67","3","1","10"
"221","30800000","30799923","28936607","28931584","68","3","1","10"
"222","56998839","56992553","51701036","51689971","69","3","1","10"
"223","7000000","6999684","6605450","6605450","70","3","1","10"
"224","1000","0","0","0","77","3","1","10"
"225","26149","23720","23720","23720","2","3","1","10"
"226","7918","6973","6973","6973","1","3","1","10"
"227","31460","22751","22751","22751","31","3","1","10"
"228","101640","91414","91414","91414","32","3","1","10"
"229","2500000","2500000","1731855","1731855","73","3","1","10"
"230","11042427","10956554","7826117","7826117","33","3","1","10"
"231","17684835","15622543","5791228","5702462","34","3","1","10"
"232","378000","325889","40390","40390","44","3","1","10"
"233","2100000","2094364","1188480","1188480","74","3","1","10"
"234","7035000","7032130","5250461","5247092","75","3","1","10"
"235","2160000","2160000","0","0","29","3","1","10"
"236","1760000","1228961","569113","569113","36","3","1","10"
"237","2545000","2538663","2127950","2127950","76","3","1","10"
"238","4188000","4187244","3519291","3519291","50","3","1","10"
"239","31706054","27948800","4817377","4817377","6","3","1","10"
"240","3411074","1684979","199931","196208","39","3","1","10"
"241","11572273","8716860","831758","831017","64","3","1","10"
"242","106513","104545","104545","104545","23","6","1","11"
"243","3400000","1785326","459709","454051","54","3","1","11"
"244","200000","200000","200000","200000","55","3","1","11"
"245","35100000","33700323","2112854","2112854","78","3","1","11"
"246","41904","29997","29997","29997","56","3","1","11"
"247","5000000","4999336","2986360","2986360","65","3","1","11"
"248","2000000","1999587","235335","235335","66","3","1","11"
"249","8570000","8568359","5677544","5677544","67","3","1","11"
"250","40000000","39993824","16568950","16568950","68","3","1","11"
"251","67700000","67700000","40401759","40356409","69","3","1","11"
"252","7000000","6928186","3886442","3886442","70","3","1","11"
"253","1000000","447000","447000","447000","71","3","1","11"
"254","5418","4251","4251","4251","77","3","1","11"
"255","47620","42337","42337","42337","2","3","1","11"
"256","7980","7363","7363","7363","1","3","1","11"
"257","23704","21789","21789","21789","31","3","1","11"
"258","178295","174495","174495","174495","32","3","1","11"
"259","3500000","3498867","1480121","1480121","73","3","1","11"
"260","17207068","15595942","11965988","11965988","33","3","1","11"
"261","22241229","21063377","6550417","6549247","34","3","1","11"
"262","3100000","3091287","756297","721297","74","3","1","11"
"263","11200000","11199444","7089208","7079208","75","3","1","11"
"264","2350000","2340000","2201000","2201000","29","3","1","11"
"265","1760000","1753408","1753408","1753408","36","3","1","11"
"266","2545000","2544054","944086","874786","76","3","1","11"
"267","5000000","4961377","1627869","1617869","50","3","1","11"
"268","32700000","27114345","3038794","2850869","6","3","1","11"
"269","3500000","1830310","636519","624306","39","3","1","11"
"270","11700000","6664018","1840026","1828462","64","3","1","11"
"271","117033","115425","115425","115425","23","6","1","12"
"272","3060000","1626494","445578","445578","54","3","1","12"
"273","200000","200000","200000","200000","55","3","1","12"
"274","39700000","39688851","27756529","27648569","78","3","1","12"
"275","43347","34032","34032","34032","56","3","1","12"
"276","9270000","9210792","4764009","2870916","65","3","1","12"
"277","2000000","2000000","0","0","66","3","1","12"
"278","3600000","3600000","0","0","67","3","1","12"
"279","37144299","37075692","17838461","16929158","68","3","1","12"
"280","54000000","52268088","22790262","21141897","69","3","1","12"
"281","14130000","11741724","2429771","1965750","70","3","1","12"
"282","450000","0","0","0","79","3","1","12"
"283","900000","100000","0","0","71","3","1","12"
"284","5418","0","0","0","77","3","1","12"
"285","47532","44193","44193","44193","2","3","1","12"
"286","8356","7975","7975","7975","1","3","1","12"
"287","28708","21371","21371","21371","31","3","1","12"
"288","178944","176596","176596","176596","32","3","1","12"
"289","3500000","2699843","716889","334702","73","3","1","12"
"290","18939273","16407262","11231905","11231905","33","3","1","12"
"291","21464106","18698349","7463825","6540545","80","3","1","12"
"292","3100000","2174833","607743","607743","74","3","1","12"
"293","11200000","10922626","5980567","5980567","75","3","1","12"
"294","2174000","2173380","2173380","2173380","29","3","1","12"
"295","1584000","1529749","1529749","1529749","36","3","1","12"
"296","2545000","2387605","1483711","1483711","76","3","1","12"
"297","5000000","4820939","2717234","2715298","50","3","1","12"
"298","16230000","16296191","4568616","2884360","6","3","1","12"
"299","3150000","2570436","1624259","764894","39","3","1","12"
"300","6030000","4580444","689155","689155","64","3","1","12"
"301","124400","119516","119516","119516","23","6","1","13"
"302","3600000","2078646","304087","303551","54","10","1","13"
"303","1000000","0","0","0","55","10","1","13"
"304","140577940","111986295","24287934","24287444","78","10","1","13"
"305","6000000","5998695","3624028","3540618","65","10","1","13"
"306","200000","200000","0","0","81","10","1","13"
"307","200000","200000","200000","200000","82","10","1","13"
"308","40485500","29362415","17115293","16959557","68","10","1","13"
"309","3000000","2425728","2385728","2338551","69","10","1","13"
"310","52624098","31384697","24007889","23612827","70","10","1","13"
"311","200000","200000","200000","200000","83","10","1","13"
"312","3000000","2523986","1097500","1097500","84","10","1","13"
"313","4000000","2019739","1079523","1079523","85","10","1","13"
"314","200000","85630","0","0","86","10","1","13"
"315","3910848","0","0","0","87","10","1","13"
"316","1023016","0","0","0","88","10","1","13"
"317","5464952","0","0","0","89","10","1","13"
"318","18956240","0","0","0","90","10","1","13"
"319","3500000","1952100","1457977","1457977","73","10","1","13"
"320","24684408","16714374","10313953","10173009","91","10","1","13"
"321","5000000","2561193","1578637","1578637","92","10","1","13"
"322","11200000","8482809","5076170","4606331","75","10","1","13"
"323","5000000","3200000","3200000","3200000","93","10","1","13"
"324","5000000","3723104","3723104","3723104","36","10","1","13"
"325","2545000","989052","787572","787572","94","10","1","13"
"326","5000000","3068764","1993028","1993028","95","10","1","13"
"327","25557530","25404101","18536576","18276474","6","10","1","13"
"328","3500000","995605","962934","962934","96","10","1","13"
"329","10000000","6823157","4698233","4698233","64","10","1","13"
"330","43333","39342","39342","39342","97","11","1","13"
"331","5418","0","0","0","77","11","1","13"
"332","3980849","3621026","3621026","3621026","98","11","1","13"
"333","17688025","11772534","6914008","6884423","27","11","1","13"
"334","45600","43738","43738","43738","2","11","1","13"
"335","8400","6622","6622","6622","1","11","1","13"
"336","30000","19727","19727","19727","31","11","1","13"
"337","180000","174855","174855","174855","32","11","1","13"
"338","155524","151684","151684","151542","23","6","1","14"
