"id_orcamento","data_ano","nome_unidade","nome_programa","nome_acao","dotacao_atual","empenhado","liquidado","pago"
"123","2006","Ministério da Ciência, Tecnologia, Inovações e Comunicações","Nacional de Atividades Espaciais - Pnae","Apoio a Projetos de Pesquisa e Desenvolvimento no Setor Espacial","1902595","1604786","1604786","754786"
"150","2006","Ministério da Ciência, Tecnologia, Inovações e Comunicações","Nacional de Atividades Espaciais - Pnae","Pesquisa e Desenvolvimento em Tecnologias Associadas a Veículos Lançadores","8739417","7271182","7271182","1079964"
"136","2006","Ministério da Ciência, Tecnologia, Inovações e Comunicações","Nacional de Atividades Espaciais - Pnae","Participação Brasileira no Desenvolvimento do Satélite Sino-Brasileiro - Projeto CBERS","78487334","78480901","78480901","53313137"
"145","2006","Ministério da Ciência, Tecnologia, Inovações e Comunicações","Nacional de Atividades Espaciais - Pnae","Desenvolvimento de Satélites de Sensoriamento Remoto com Imageador Óptico","13347571","13346662","13346662","9093355"
"141","2006","Ministério da Ciência, Tecnologia, Inovações e Comunicações","Nacional de Atividades Espaciais - Pnae","Desenvolvimento e Lançamento de Satélites Tecnológicos de Pequeno Porte","1628095","1628095","1628095","660449"
"122","2006","Ministério da Ciência, Tecnologia, Inovações e Comunicações","Nacional de Atividades Espaciais - Pnae","Implantação do Sistema de Metrologia, Normalização e Certificação para a Área Espacial","1000000","992452","992452","532096"
"132","2006","Ministério da Ciência, Tecnologia, Inovações e Comunicações","Nacional de Atividades Espaciais - Pnae","Gestão e Administração do Programa","8168899","7910540","7910540","7556853"
"146","2006","Ministério da Ciência, Tecnologia, Inovações e Comunicações","Nacional de Atividades Espaciais - Pnae","Desenvolvimento de Veículos Lançadores de Satélites","26100776","23510948","23510948","7085928"
"137","2006","Ministério da Ciência, Tecnologia, Inovações e Comunicações","Nacional de Atividades Espaciais - Pnae","Participação Brasileira na Estação Espacial Internacional - ISS","2739028","65735","65735","27515"
"149","2006","Ministério da Ciência, Tecnologia, Inovações e Comunicações","Nacional de Atividades Espaciais - Pnae","Formação de Astronautas","19000000","16815025","16815025","16815025"
"148","2006","Ministério da Ciência, Tecnologia, Inovações e Comunicações","Nacional de Atividades Espaciais - Pnae","Desenvolvimento de Satélites de Sensoriamento Remoto com Imageador Radar","690000","689885","689885","468213"
"126","2006","Ministério da Ciência, Tecnologia, Inovações e Comunicações","Nacional de Atividades Espaciais - Pnae","Reconstrução da Torre Móvel de Integração do Sítio do Veículo Lançador de Satélite","1350000","1350000","1350000","1350000"
"124","2006","Ministério da Ciência, Tecnologia, Inovações e Comunicações","Nacional de Atividades Espaciais - Pnae","Desenvolvimento de Satélites de Comunicação e Meteorologia","500000","0","0","0"
"139","2006","Ministério da Ciência, Tecnologia, Inovações e Comunicações","Nacional de Atividades Espaciais - Pnae","Pesquisa e Desenvolvimento em Tecnologias, Ciências e Aplicações Espaciais no Instituto Nacional de Pesquisas Espaciais","4948474","4947290","4947290","2825316"
"133","2006","Ministério da Ciência, Tecnologia, Inovações e Comunicações","Nacional de Atividades Espaciais - Pnae","Funcionamento da Infra-Estrutura de Apoio às Atividades Espaciais","7907712","7821789","7821789","4291979"
"125","2006","Ministério da Ciência, Tecnologia, Inovações e Comunicações","Nacional de Atividades Espaciais - Pnae","Contribuição da União, de suas Autarquias e Fundações para o Custeio do Regime de Previdência dos Servidores Públicos Federais","49189","25836","25836","25836"
"140","2006","Ministério da Ciência, Tecnologia, Inovações e Comunicações","Nacional de Atividades Espaciais - Pnae","Recepção de Imagens e Geração de Produtos de Satélites","4814453","4814450","4814450","3540233"
"151","2006","Ministério da Ciência, Tecnologia, Inovações e Comunicações","Gestão da Participação em Organismos Internacionais","Contribuição a International Astronautical Federation - IAF","6500","3866","3866","3866"
"129","2006","Ministério da Ciência, Tecnologia, Inovações e Comunicações","Nacional de Atividades Espaciais - Pnae","Auxílio-Transporte aos Servidores e Empregados","56000","35971","35971","35971"
"121","2006","Ministério da Ciência, Tecnologia, Inovações e Comunicações","PREVIDÊNCIA DE INATIVOS E PENSIONISTAS DA UNIÃO","Pagamento de Aposentadorias e Pensões - Servidores Civis","104391","65869","65869","65869"
"128","2006","Ministério da Ciência, Tecnologia, Inovações e Comunicações","Nacional de Atividades Espaciais - Pnae","Assistência Pré-escolar aos Dependentes dos Servidores e Empregados","6500","3681","3681","3681"
"131","2006","Ministério da Ciência, Tecnologia, Inovações e Comunicações","Nacional de Atividades Espaciais - Pnae","Funcionamento da Infra-Estrutura de Apoio a Satélites","5601224","5598569","5598569","3989095"
"143","2006","Ministério da Ciência, Tecnologia, Inovações e Comunicações","Nacional de Atividades Espaciais - Pnae","Desenvolvimento do Segmento de Aplicações do Satélite Sino-Brasileiro (CBERS)","1060000","1060000","1060000","736281"
"180","2007","Agência Espacial Brasileira","Nacional de Atividades Espaciais - Pnae","Pesquisa e Desenvolvimento em Tecnologias Associadas a Veículos Espaciais","10569050","10440644","641838","401428"
"177","2007","Agência Espacial Brasileira","Nacional de Atividades Espaciais - Pnae","Desenvolvimento de Produtos e Processos Inovadores para o Setor Espacial","2820000","2608529","1378354","1377922"
"172","2007","Agência Espacial Brasileira","Nacional de Atividades Espaciais - Pnae","Pesquisa e Desenvolvimento em Tecnologias, Ciências e Aplicações Espaciais no Instituto Nacional de Pesquisas Espaciais","2100000","1951469","1122156","1116756"
"159","2007","Agência Espacial Brasileira","Nacional de Atividades Espaciais - Pnae","Reconstrução da Torre Móvel de Integração do Sítio do Veículo Lançador de Satélite","700000","0","0","0"
"161","2007","Agência Espacial Brasileira","Nacional de Atividades Espaciais - Pnae","Assistência Pré-escolar aos Dependentes dos Servidores e Empregados","5700","5296","5296","5296"
"164","2007","Agência Espacial Brasileira","Nacional de Atividades Espaciais - Pnae","Funcionamento da Infra-Estrutura de Apoio a Satélites","7000000","6974386","4618552","4618083"
"154","2007","Agência Espacial Brasileira","Nacional de Atividades Espaciais - Pnae","Apoio a Projetos de Pesquisa e Desenvolvimento no Setor Espacial","4200000","300000","300000","300000"
"158","2007","Agência Espacial Brasileira","Nacional de Atividades Espaciais - Pnae","Contribuição da União, de suas Autarquias e Fundações para o Custeio do Regime de Previdência dos Servidores Públicos Federais","64440","33510","33510","31571"
"179","2007","Agência Espacial Brasileira","Nacional de Atividades Espaciais - Pnae","Desenvolvimento e Lançamento de Foguetes de Sondagem","2662000","2648385","1075351","1035160"
"155","2007","Agência Espacial Brasileira","Nacional de Atividades Espaciais - Pnae","Desenvolvimento de Satélites de Comunicação e Meteorologia","500000","0","0","0"
"167","2007","Agência Espacial Brasileira","Nacional de Atividades Espaciais - Pnae","Desenvolvimento de Satélites Científicos","500000","457963","82214","82214"
"153","2007","Agência Espacial Brasileira","Nacional de Atividades Espaciais - Pnae","Implantação do Sistema de Metrologia, Normalização e Certificação para a Área Espacial","1500000","1468658","443639","433656"
